MOF,K_ethane (mol m-3 Pa-1),K_ethene (mol m-3 Pa-1),D_ethane_a (m2/s),D_ethane_b (m2/s),D_ethane_c (m2/s),D_ethane,D_ethene_a (m2/s),D_ethene_b (m2/s),D_ethene_c (m2/s),D_ethene,P_ethane,P_ethene,K(ea/ee),Score,¦Á,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,Has_OMS,SOCERE,A
KIFWUT_clean,3.294214578,0.828951167,8.41E-10,0,0,2.80E-10,2.16E-09,0,0,7.20E-10,2756651.204,1781626.389,1.547266712,3.195148118,3.973954931,5.20547,3.53873,4.99626,1.38567,317.914,229.429,0,0,0.4078,0.294297,0,1,0,1
CENPUI_clean,27.29048994,6.874388582,0,6.81E-09,0,2.27E-09,0,9.28E-09,0,3.09E-09,184923618.4,63476941.33,2.913240848,3.981250135,3.969878865,6.19698,4.05893,5.0808,0.999903,1127.63,1127.74,0,0,0.537,0.537052,0,1,1,1
NISPOV_clean,15.20074172,3.835221714,9.14E-16,0,0,3.05E-16,9.98E-15,0,0,3.33E-15,13.82435615,38.08508727,0.36298607,1.005811948,3.9634584,4.71107,2.81394,4.69976,1.97219,0,0,427.339,216.682,0.4068,0.206268,0,1,0,1
UKUBUY_clean,19.1398284,4.838637639,2.92E-09,2.93E-09,0,1.95E-09,4.87E-09,4.87E-09,0,3.25E-09,111410941.4,46893861.3,2.375810785,3.862270246,3.955623427,7.24877,4.48545,6.9378,1.0306,1336.85,1297.17,0,0,0.5312,0.51543,0,0,2,1
BEFLUV_clean,40.10393713,10.17127736,0,0,1.46E-09,4.87E-10,0,0,1.01E-09,3.37E-10,58260445.98,10221880.73,5.69958186,4.599798389,3.942861423,5.75316,3.83896,5.75316,1.56773,551.699,351.91,132.515,84.5269,0.4868,0.310514,0,1,1,1
BUKYAJ_clean,11.88810039,3.015884853,2.66E-11,0,0,8.87E-12,9.87E-11,0,0,3.29E-11,314650.2193,296186.9005,1.062336716,2.810827443,3.941828342,5.10209,3.53964,5.09477,0.92244,1064.13,1153.61,0,0,0.5144,0.557651,0,0,0,1
GIYSOX_clean,5.342438457,1.356799775,6.48E-09,0,0,2.16E-09,8.22E-09,0,0,2.74E-09,34446767.36,11097407.11,3.104037457,3.704963619,3.937528997,5.41931,4.91867,5.41931,1.46994,924.604,629.008,0,0,0.4898,0.333211,0,0,2,1
EKIDIL_clean,11.64816374,2.95918531,0,0,3.24E-08,1.08E-08,0,0,3.15E-08,1.05E-08,375522890.7,92750584.34,4.048738813,4.261606713,3.936273846,5.81547,5.58073,5.8139,2.56508,834.555,325.352,0,0,0.4098,0.159761,0,1,1,1
LIFWOO_clean,17.60348408,4.479215781,4.57E-08,0,0,1.52E-08,5.42E-08,0,0,1.81E-08,800476838.3,241565667,3.313702846,4.272461931,3.930037074,4.98366,4.55513,4.98366,1.07707,1107.59,1028.34,0,0,0.5242,0.486692,0,0,1,1
ZACCUB_clean,46.47493385,11.82970091,7.61E-12,2.70E-09,0,9.03E-10,2.36E-11,5.17E-09,0,1.73E-09,125209945.9,61133069.3,2.04815409,3.87040144,3.928665163,5.33809,3.35117,5.33809,2.14234,943.989,440.635,0,0,0.4798,0.223961,0,1,1,1
XADGAM_clean,41.22727127,10.49577821,0,2.50E-08,0,8.33E-09,0,2.61E-08,0,8.70E-09,1025554012,272576926.6,3.762438825,4.378437917,3.927986134,5.02813,3.93675,5.02538,1.19627,575.885,481.401,200.588,167.678,0.4922,0.411446,0,1,1,1
CAVREY_clean,2.78226285,0.708888622,4.85E-09,2.12E-18,0,1.62E-09,5.51E-09,1.86E-16,0,1.84E-09,13426840.63,3886543.72,3.454699494,3.579138201,3.92482368,7.18071,5.30054,7.16429,1.02665,1966.55,1915.49,0,0,0.6398,0.62319,0,1,2,1
XEJWUG_clean,32.90729292,8.402004651,8.04E-11,0,0,2.68E-11,3.04E-10,0,0,1.01E-10,2632583.434,2541501.904,1.035837679,3.179543217,3.916600179,4.34072,3.48491,4.33485,1.56158,471.476,301.922,0,0,0.4076,0.261018,0,0,0,1
PUWDAM_clean,3.21733622,0.821461791,1.13E-10,1.15E-10,0,7.60E-11,1.86E-10,1.80E-10,0,1.22E-10,729903.1424,299159.2194,2.439848399,2.991681906,3.916598745,9.00542,5.91155,9.00542,0.805702,2374.94,2947.67,0,0,0.7118,0.883453,0,0,0,1
ZISYAD_clean,11.9224561,3.045273033,1.19E-08,0,0,3.97E-09,1.17E-08,0,0,3.90E-09,141171370.7,35452432.32,3.981993942,4.07668745,3.915069674,5.9099,4.91539,5.73695,1.28892,1160.38,900.27,0,0,0.5204,0.403748,0,0,1,1
MUKRAN_clean,5.210688798,1.331392831,7.18E-11,0,4.08E-09,1.38E-09,2.42E-10,0,5.21E-09,1.82E-09,21526107.22,7222640.512,2.980365308,3.61280856,3.913712525,10.80355,3.74031,10.80323,0.902018,2107.1,2335.99,0,0,0.6572,0.728588,0,1,2,1
BICPOT_clean,39.3169393,10.05560901,0,2.75E-12,4.28E-09,1.43E-09,0,3.82E-11,5.53E-09,1.86E-09,167546887.4,55713076.71,3.007317083,3.97145205,3.909951079,7.30922,6.53578,7.30892,1.59286,1232.22,773.59,12.3074,7.72661,0.5162,0.324071,0,0,1,1
