dimensions, bond type, name,H2,CH4,a,Kh_H2,Kh_CH4,DCH4,DH2,k(CH4/H2),aIM(CH4/H2),aIM(H2/CH4),kIM(CH4/H2),kIM(H2/CH4),MPS,#VALUE!,score,rmps,mps,PH2,PCH4,aIM, void fraction [widom], supercell volume [A^3], density [kg/m^3], surface area [m^2/g], deliverable capacity [v STP/v],dimensions, num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A],0,,
3, CC, linker91_C_linker92_C_bpc_relaxed,0.753361,2.19779,29.17313214,0.0653242,2.12299,6.93E-08,2.25E-07,8.996935529,32.49928817,0.030769905,10.02271539,0.099773361,3949376314,4396464620,14.24226974,-5.90E+11,4399661931,43797418.27,438969058,3.25E+01,0.698184,42014.1629,774.7338468,2307.33,77.75850536,3,1152,0,384,384,0,0,0,2,4,5,6.06973,4.92064,6.06973,35,0.003510532,1
3, CC, linker92_C_linker91_C_bpc_relaxed,0.753361,2.19779,29.17313214,0.0653242,2.12299,6.93E-08,2.25E-07,8.996935529,32.49928817,0.030769905,10.02271539,0.099773361,3949376314,4396464620,14.24226974,-5.90E+11,4399661931,43797418.27,438969058,3.25E+01,0.698329,42014.1629,774.7338468,2307.33,77.65928231,3,1152,0,384,384,0,0,0,2,4,5,6.06973,4.92064,6.06973,36,0.003610832,1
3, CC, linker108_C_linker64_C_mdf_relaxed,0.598298,1.75291,29.29827611,0.0533447,2.02503,3.29E-08,1.07E-07,8.982366021,37.96122201,0.026342671,11.6382817,0.085923337,1786757829,2311660017,14.03501345,-2.67E+11,2315068313,17091732.25,198918394.7,3.80E+01,0.563085,26298.58625,829.1940137,1431.79,61.42237716,3,832,0,320,128,64,0,0,1,2,5,7.77858,7.52961,7.77803,37,0.003711133,1
3, CC, linker91_C_linker91_C_twt_relaxed,0.799254,2.70297,33.8186609,0.0795499,2.80949,7.77E-08,2.95E-07,8.905915245,35.31732912,0.028314712,9.300579369,0.107520183,5803351995,6057430142,13.87930448,-8.76E+11,6060526554,70063261.77,651628926.9,3.53E+01,0.643145,26999.5394,1036.887295,922.622,55.86780142,3,648,0,0,648,0,0,0,1,2,4,3.97705,3.74613,3.97692,38,0.003811434,1
3, CC, linker91_C_linker91_C_utp_relaxed,0.884416,2.17898,24.6375009,0.0722027,1.93177,9.20E-08,2.66E-07,8.527087615,26.75481665,0.037376448,9.259894769,0.107992588,4524709827,4910530644,12.15412423,-7.14E+11,4913557682,57303870.42,530627810,2.68E+01,0.819525,47668.493,783.0603294,3238.78,95.7794382,3,432,0,0,432,0,0,0,1,3,5,5.88377,5.35363,5.88371,39,0.003911735,1
3, mixed, linker91_CH_linker91_N_clh_relaxed_interp_2,0.730553,0.953317,13.04925173,0.0541399,0.745342,7.06E-08,1.12E-07,8.256543429,13.766963,0.072637662,8.71065485,0.114801931,1296099340,1364821798,10.84138107,-2.11E+11,1367385044,18021428.54,156978443.9,1.38E+01,0.673597,40088.49236,707.3601915,3423.03,124.9613778,3,648,0,216,648,0,0,0,2,3,5,7.01648,4.72361,6.37142,40,0.004012036,1
3, CC, linker99_C_linker4_C_lvt_relaxed_interp_3,0.455403,1.23512,27.12147263,0.0421123,1.56578,3.01E-08,9.93E-08,8.220460537,37.18106112,0.026895413,11.26950036,0.088735079,1155987853,1581546492,10.68204249,-1.89E+11,1584753734,12478214.88,140623247.1,3.72E+01,0.470655,19511.81916,801.4023713,1291.25,42.37580406,3,576,0,288,48,96,0,0,1,1,5,6.07688,5.4737,6.07688,41,0.004112337,1
3, CC, linker99_C_linker2_C_lvt_relaxed_interp_3,0.572094,1.42726,24.94799806,0.0491704,1.48178,5.03E-08,1.55E-07,8.098257262,30.13561004,0.033183334,9.782184618,0.102226654,1800930558,2172470669,10.298361,-2.99E+11,2175410663,22733669.56,222384952.6,3.01E+01,0.557942,19421.94143,686.1051939,2137.72,66.97533692,3,576,0,336,0,48,0,0,1,1,5,7.01338,5.93377,6.4433,42,0.004212638,1
3, CC, linker108_C_linker71_C_qtz_relaxed,0.593466,1.59868,26.93802172,0.0538304,2.65029,5.63E-08,1.90E-07,7.989475322,49.23407591,0.020311136,14.602202,0.068482822,3559579121,6501262951,10.02172978,-5.99E+11,6505770561,30511393.24,445533527.3,4.92E+01,0.670705,49807.89187,704.7769673,2067.91,113.6153838,3,1248,0,576,288,96,0,0,1,1,4,13.45395,13.26836,13.45393,43,0.004312939,1
3, CC, linker91_C_linker91_C_utk_relaxed,0.359871,1.66956,46.39329093,0.049226,3.36745,2.82E-08,1.65E-07,7.909415553,68.40795515,0.014618183,11.66261185,0.085744087,2241501083,3301617527,9.659777139,-3.81E+11,3305143965,24299578.35,283396550.3,6.84E+01,0.416321,33530.21316,1113.243917,647.517,25.90650149,3,864,0,0,864,0,0,0,1,3,5,5.13394,4.90843,5.13385,44,0.00441324,1
