 name,H2,CH4,aIM,Kh_H2,Kh_CH4,DCH4,DH2,k(CH4/H2),k(H2/CH4),aIM(CH4/H2),aIM(H2/CH4),kIM(CH4/H2),kIM(H2/CH4),MPS,score2,Sh2/ch4,score,rmps,PH2,PCH4,score1,Kh_H2,Kh_CH4, void fraction [widom], supercell volume [A^3],dimensions, density [kg/m^3], surface area [m^2/g], deliverable capacity [v STP/v], num carbon, num fluorine, num hydrogen, num nitrogen, num oxygen, num sulfur, num silicon, vertices, edges, genus, largest included sphere diameter [A], largest free sphere diameter [A], largest included sphere along free sphere path diameter [A],0,0,TOP
 linker108_N_linker72_CH_uon_relaxed_interp_2,0.745399,0.57096,9.306869601,0.04862,0.4525,2.25E-09,3.15E-79,6.64229E+70,1.51E-71,9.306869601,0.107447514,6.64229E+70,1.5055E-71,2.01813E+77,46.28644351,1.004042768,2.6472E+141,2.01813E+77,4.57419E-65,3038309.224,2.6472E+141,0.04862,0.4525,0.812072,28963.23149,3,439.2843649,4711.4,162.0111668,384,0,168,96,96,0,0,1,2,7,12.99819,10.44639,12.9932,22,0.002529317,1
 linker106_N_linker58_CH_umc_relaxed_interp_4,0.695221,0.428754,6.52907802,0.0459316,0.299891,6.70E-09,8.66E-78,5.05295E+69,1.98E-70,6.52907802,0.153160982,5.05295E+69,1.97904E-70,3.03002E+76,45.73328716,1.004042768,1.5319E+139,3.03002E+76,1.18674E-63,5996536.884,1.5319E+139,0.0459316,0.299891,0.751246,111193.4363,3,453.4901429,4750.24,158.1433557,1536,0,1152,768,0,0,0,1,4,9,13.1902,9.50164,11.91227,23,0.002644286,1
 linker99_CH_linker83_N_tcb_relaxed,0.806046,0.67697,9.147353405,0.0528566,0.483498,1.58E-08,5.29E-75,2.73385E+67,3.66E-68,9.147353405,0.109321238,2.73385E+67,3.65785E-68,6.23641E+74,44.60532871,1.004042768,4.4843E+134,6.23641E+74,8.34424E-61,22811868.62,4.4843E+134,0.0528566,0.483498,0.813363,45827.41573,3,447.4588616,6059.3,172.2162087,768,0,432,192,0,0,0,1,2,5,9.19448,8.30656,9.12329,24,0.002759255,1
 linker106_N_linker81_CH_tcb_relaxed,0.727749,0.493314,7.266726063,0.048263,0.350714,1.36E-08,4.02E-74,2.45711E+66,4.07E-67,7.266726063,0.137613554,2.45711E+66,4.06983E-67,3.50006E+73,43.89571504,1.004042768,3.6224E+132,3.50006E+73,5.79732E-60,14244641.7,3.6224E+132,0.048263,0.350714,0.761868,40893.03774,3,462.4117891,5409.93,166.9982971,576,0,432,288,0,0,0,1,2,5,9.64163,8.11257,9.64163,25,0.002874224,1
 linker99_CH_linker9_N_tcb_relaxed,0.760631,0.576555,8.082373333,0.0492708,0.398225,1.07E-08,6.49E-69,1.32819E+61,7.53E-62,8.082373333,0.123726034,1.32819E+61,7.52903E-62,1.68474E+68,40.71526573,1.004042768,1.0585E+122,1.68474E+68,9.5502E-55,12684496.48,1.0585E+122,0.0492708,0.398225,0.785326,46531.09286,3,399.6124939,6820.83,173.5054507,768,0,624,96,0,0,0,1,2,5,9.42884,7.92416,9.4288,26,0.002989193,1
 linker110_C_linker67_C_uoc_relaxed,0.64342,0.488233,8.594136783,0.0421748,0.362456,1.27E-08,4.47E-65,2.44399E+57,4.09E-58,8.594136783,0.116358399,2.44399E+57,4.09167E-58,3.36071E+64,38.48819206,1.004042768,3.5839E+114,3.36071E+64,5.62641E-51,13750895.4,3.5839E+114,0.0421748,0.362456,0.687346,34969.82948,3,571.8935646,3489,148.1863932,640,0,512,128,128,0,0,1,2,5,10.05008,9.30615,10.05004,27,0.003104162,1
 linker106_C_linker83_C_qtz_relaxed,0.69832,0.721302,11.52500831,0.0466345,0.537463,4.19E-08,3.36E-60,1.43527E+53,6.97E-54,11.52500831,0.086767833,1.43527E+53,6.96734E-54,9.63717E+60,36.22496633,1.004042768,1.236E+106,9.63717E+60,4.67825E-46,67145439.77,1.236E+106,0.0466345,0.537463,0.677739,46673.98895,3,597.481725,4059.3,127.7100333,1008,0,648,288,0,0,0,1,1,4,6.90249,6.39335,6.8576,28,0.003219131,1
 linker110_C_linker2_C_mer_relaxed,0.69147,0.350408,6.16863912,0.044361,0.273647,1.47E-09,4.32E-58,2.10435E+49,4.75E-50,6.16863912,0.16211031,2.10435E+49,4.75207E-50,2.53472E+55,33.22619534,1.004042768,2.65697E+98,2.53472E+55,5.72394E-44,1204515.131,2.65697E+98,0.044361,0.273647,0.801482,45670.88403,3,368.1174757,4291.22,158.6294809,704,0,640,0,64,0,0,1,4,17,20.56021,13.15973,20.56021,29,0.0033341,1
 linker108_CH_linker8_N_uon_relaxed_interp_2,0.739837,0.527195,9.023097075,0.0479065,0.432265,6.63E-10,4.80E-58,1.24527E+49,8.03E-50,9.023097075,0.110826692,1.24527E+49,8.03041E-50,1.0648E+55,33.02996015,1.004042768,9.30413E+97,1.0648E+55,6.86665E-44,855080.386,9.30413E+97,0.0479065,0.432265,0.834277,31957.5494,3,398.124856,4927.51,154.3274309,384,0,168,96,96,0,0,1,2,7,15.16748,13.35537,15.15604,30,0.003449069,1
 linker108_C_linker6_C_qtz_relaxed,0.571055,0.727462,13.97646325,0.043294,0.605097,5.72E-08,1.03E-55,7.77576E+48,1.29E-49,13.97646325,0.071548859,7.77576E+48,1.28605E-49,8.03559E+56,33.74015553,1.004042768,3.62774E+97,8.03559E+56,1.32902E-41,103341536.3,3.62774E+97,0.043294,0.605097,0.555857,51761.80265,3,816.742561,1514.17,109.8438663,1344,0,480,192,384,0,0,1,1,4,11.26497,11.04876,11.26495,31,0.003564038,1
